活动 ID,活动日期,活动名称,活动类型,活动描述,全程耗时,距离,最大心率,相对负荷度,通勤,活动隐私说明,活动装备,文件名,运动达人体重,自行车重量,全程耗时,移动时间,距离,最大速度,平均速度,海拔爬升,降低海拔,低海拔,高海拔,最大坡度,平均坡度,平均坡度（正值）,平均坡度（负值）,最大踏频,平均踏频,最大心率,平均心率,最大瓦特数,平均瓦特数,卡路里,最高温度,平均温度,相对负荷度,总功,跑步次数,上坡时间,下坡时间,其它时间,感知负荷度,类型,开始时间,加权平均功率,功率计数,使用感知负荷度,感知的相对负荷度,通勤,举起的总重量,来自上传的活动,坡度调整距离,天气观测时间,天气状况,气温,表观温度,露点,潮湿,气压,风速,阵风,风向,降水强度,日出时间,日落时间,月相,自行车,装备,降水概率,降水类型,云盖,天气能见度,紫外线指数,臭氧预报数据,跳跃次数,总砂砾量,平均流量,已标记,平均经过速度,砾石路骑行距离,最近探索的距离,最近探索的泥土距离,活动数量,总步数,碳减排量,池长度,训练负荷,强度,坡度调整后平均配速,计时器时间,总骑行数,恢复,与宠同行,竞争,长跑,有意义,带着小孩,下坡距离,总组数,总次数,媒体
18554579442,2026年5月18日 11:25:59,机场东路-工作日-40公里日常骑行,骑行,,6211,40.1,172,82,FALSE,,CAMP sr5,activities/19660677063.fit.gz,,10,6211,5439,40100.1,11.14,7.373,40,46,4,36,17.9,-0.1,,,111,83,172,143,,129,1262,,21,82,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.456,0,,,,,0,,,,,,,,,,,,,,,,
18504107723,2026年5月14日 11:37:31,机场东路-工作日下班骑行,骑行,,5454,40.11,192,178,FALSE,,CAMP sr5,activities/19609613329.fit.gz,,10,5454,5192,40112.6,11.8,7.726,51,59,-20,29,21.5,0.1,,,120,87,192,162,,143,1306,,24,178,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,7.355,0,,,,,0,,,,,,,,,,,,,,,,
18383772675,2026年5月4日 23:47:23,承德-北京通州-单飞,骑行,新成就:承德骑行到北京,40873,207.97,188,733,FALSE,,CAMP sr5,activities/19488177722.fit.gz,,10,40873,32631,207968.8,14.4,6.373,939,1199,-1,718,39.6,-0.2,,,121,77,188,150,,107,6354,,26,733,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.088,0,,,,,0,,,,,,,0,0,,,,0,,,,
18329722288,2026年4月30日 22:30:11,北京-承德-190公里,骑行,最近骑车总是岔气，很难受，今天100公里左右开始岔气，硬挺了90公里??。比上次十月一骑回来多了一个半小时,40836,190.11,185,713,FALSE,,CAMP sr5,activities/19433454017.fit.gz,,10,40836,31836,190114.8,16.27,5.972,1184,897,-20,715,48.1,0.2,,,117,73,185,150,,109,5735,,26,713,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,4.656,0,,,,,0,,,,,,,0,0,,,,0,,,,media/92da3bff-04d0-45ab-a95b-5aabe92eeee5.jpg
18250793431,2026年4月25日 01:35:58,通州-密云水库往返,骑行,"去的时候无风，到达密云碰到马拉松封路，绕路去的。从水库下来走了一段越野路线（名字叫小石路），在那种山沟里，带爬坡的越野，真怕爆胎。
北京刮了快一个月西北风，本来想着今天上午去没风，下午回来顺风。下午回来竟然刮起了南风，无奈了。回来的路上逆风加岔气??",36208,169.1,176,507,FALSE,,CAMP sr5,activities/19353815874.fit.gz,,10,36208,27496,169103,14.32,6.15,477,456,6,189,44.2,0,,,125,78,176,147,,100,5060,,26,507,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,4.67,0,,,,,0,,,,,,,0,0,,,,0,,,,media/2cbb05a9-52be-40cb-893f-6894130c55cd.jpg|media/426e477d-e8cc-4d4e-9321-2a88f1ec7d5b.jpg|media/ee645066-da7d-4884-b2a4-a7e09ac55fa0.jpg|media/41f228c6-7b02-4761-81d0-d9237b022c24.jpg|media/1a833f6c-6b82-4a49-b626-b86b8b1590b5.jpg|media/5767be72-857e-4497-b442-996782a2f9b8.jpg|media/226cb55b-5285-4ada-a466-2ddc02a453df.jpg
18166912173,2026年4月19日 04:57:55,温榆河绕圈,骑行,西北风3级，去的时候逆风回来顺风。有风骑得好累,7510,45.62,189,212,FALSE,,CAMP sr5,activities/19269271405.fit.gz,,10,7510,6627,45624.2,11.88,6.885,170,188,0,60,26.1,-0.1,,,111,78,189,159,,122,1370,,19,212,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.075,0,,,,,0,,,,,,,0,0,,,,0,,,,
18065087408,2026年4月11日 05:40:05,通州到怀柔，绕怀柔水库一圈。,骑行,去的时候还挺爽，回来的路上腿酸，骑不动，太难了,22034,109.72,193,520,FALSE,,CAMP sr5,activities/19166518888.fit.gz,,10,22034,16964,109719.8,12.7,6.468,277,278,0,68,21.3,0,,,113,77,193,158,,109,3325,,21,520,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,4.98,0,,,,,0,,,,,,,0,0,,,,0,,,,media/ca7bf19b-23e5-456f-9b71-c38beb7d8876.jpg|media/7d9eb06d-ab68-4427-962d-0aad8110abb7.jpg
17970469032,2026年4月4日 06:05:31,26年第一骑,骑行,距离上次骑车过了5个月，心肺有点跟不上腿，今天的3三级风有点东西,4785,29.84,182,177,FALSE,,CAMP sr5,activities/19070785143.fit.gz,,10,4785,4688,29847.3,14.08,6.367,138,122,-9,13,18.9,0,,,107,76,182,164,,105,867,,20,177,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.238,0,,,,,0,,,,,,,0,0,,,,0,,,,
17970468996,2025年10月4日 03:31:28,上午 骑行,骑行,,390,2.29,,,FALSE,,CAMP sr5,activities/19070785065.fit.gz,,10,390,390,2299,7.26,5.895,1,3,360,371,10,0.3,,,88,73,,,,94,68,,24,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.895,0,,,,,0,,,,,,,,,,,,,,,,
15983839764,2025年9月29日 22:18:23,北京-承德单飞190公里,骑行,"沿着G101骑回承德，成就达成。
总时间10个小时，比预想的快了2个小时，到家太阳还没下山
3级坡果然厉害，爬到崩溃
",36040,190.79,183,620,FALSE,,CAMP sr5,activities/17065384361.fit.gz,,10,36040,28835,190793.2,18.42,6.617,1094,845,7,712,46.2,0.2,,,133,82,183,150,,129,5965,,23,620,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.294,0,,,,,0,,,,,,,0,,,,,,,,,
15950614386,2025年9月27日 05:43:56,下午 骑行,骑行,,13471,83.35,175,241,FALSE,,CAMP sr5,activities/17031483346.fit.gz,,10,13471,11071,83355.2,11.04,7.529,171,173,6,49,41.2,0,,,125,85,175,151,,139,2707,,13,241,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.188,0,,,,,0,,,,,,,,,,,,,,,,
15875543465,2025年9月20日 07:29:43,通州-顺义-怀柔往返,骑行,零速摔后恢复骑行，还是有点不适应，上周的巅峰达不到了??,16850,84.23,174,247,FALSE,,CAMP sr5,activities/16954505286.fit.gz,,10,16850,11131,84229.3,13.507,7.567,69,82,9,54,39,0,,,118,85,174,151,,138,2732,,23,247,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,4.999,0,,,,,0,,,,,,,0,,,,,,,,,
15853855894,2025年9月18日 12:12:14,温榆河骑行,骑行,零速摔后恢复骑行，膝盖有点痛不敢用力骑,4126,29.8,162,55,FALSE,,CAMP sr5,activities/16932257546.fit.gz,,10,4126,4057,29801.5,10.12,7.346,12,14,12,26,19,0,,,102,85,162,142,,132,921,,16,55,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,7.223,0,,,,,0,,,,,,,0,,,,,,,,,
15795504619,2025年9月13日 10:15:35,零速摔后溜达骑,骑行,摔到膝盖，一开始很疼，蹬不了，只能慢慢溜达了,2460,12.86,144,9,FALSE,,CAMP sr5,activities/16871791519.fit.gz,,10,2460,2194,12867.5,8.88,5.865,33,22,3,19,20.4,0,,,111,76,144,124,,88,367,,22,9,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.231,0,,,,,0,,,,,,,0,,,,,,,,,
15795504568,2025年9月13日 07:06:11,通州到怀柔，G101,骑行,今天调了座高和锁踏的位置，可能是调到了最佳状态，发力比之前轻松而且速度还快，均速达到29.5。回程的时候在一个红绿灯中间零速摔，均速也就截止到29.5了，膝盖同样的位置又受伤了，第一次零速摔就受伤??。要不是摔车今天就均速30了，可惜,10521,77.37,177,254,FALSE,,CAMP sr5,activities/16871791356.fit.gz,,10,10521,9453,77375.4,12.54,8.185,119,117,8,45,20,0,,,117,89,177,156,,165,2606,,26,254,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,7.354,0,,,,,0,,,,,,,0,,,,,,,,,
15775159829,2025年9月11日 11:40:14,傍晚 骑行,骑行,,6070,40.31,172,67,FALSE,,CAMP sr5,activities/16850274960.fit.gz,,10,6070,5521,40311.5,12.34,7.301,42,47,9,36,28.6,0,,,112,86,172,139,,125,1278,,23,67,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.641,0,,,,,0,,,,,,,,,,,,,,,,
15763704516,2025年9月10日 11:29:40,傍晚 骑行,骑行,,6050,40.28,181,80,FALSE,,CAMP sr5,activities/16838174579.fit.gz,,10,6050,5317,40280.4,11.6,7.576,43,47,8,30,20.8,0,,,119,87,181,142,,137,1293,,23,80,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.658,0,,,,,0,,,,,,,,,,,,,,,,
15751070265,2025年9月9日 11:24:40,机场东路,骑行,骑到一半下雨了，猛蹬到家，到家正好下大，今天第一次穿锁鞋，没有零速摔，丝瓜解锁，后悔锁鞋上晚了,3203,22.8,182,53,FALSE,,CAMP sr5,activities/16824864478.fit.gz,,10,3203,3030,22806.3,12.7,7.527,30,37,3,19,19.4,0,,,122,82,182,146,,144,731,,25,53,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,7.12,0,,,,,0,,,,,,,0,,,,,,,,,
15716838443,2025年9月6日 08:40:46,骑行环北京二环,骑行,从车店修完车就丝滑出发了，上次桶轴松了，我自己拧的，结果这两周自带20%的刹车骑行??，我说怎么骑着有点费劲呢。调好刹车和变速骑的非常丝滑，再加上今天我洗了链条，和新车一样,16240,85.8,190,230,FALSE,,CAMP sr5,activities/16788572681.fit.gz,,10,16240,12876,85804.7,14.36,6.664,68,68,9,57,44.2,0,,,120,78,190,146,,125,2650,,28,230,,,,,,2,,,,,0,60,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.284,0,,,,,0,,,,,,,0,,,,,,,,,media/5320a863-d577-4a18-86ae-8baadefeee9d.jpg|media/f9653a98-12c7-44ae-8faa-27d1ecd17a65.jpg|media/dd4b6fcc-f783-44b7-8d7d-2ee1c8576cb2.jpg|media/e7f872d8-0c15-455c-915f-71e997d5b083.jpg|media/1e3a1ed8-884a-48de-93aa-65cc15d35ec0.jpg|media/bafa1084-05c0-46cc-a595-fb5edf8c0500.jpg|media/fb706e58-ca1f-4cce-b301-ba7d2d39b13d.jpg
15694342969,2025年9月4日 11:21:24,机场东路,骑行,,6204,40.11,171,74,FALSE,,CAMP sr5,activities/16764689952.fit.gz,,10,6204,5525,40111.5,13.16,7.26,40,47,10,30,14.3,0,,,109,83,171,141,,124,1258,,25,74,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.465,0,,,,,0,,,,,,,0,,,,,,,,,
15670762821,2025年9月2日 11:26:59,傍晚 骑行,骑行,,6691,42.59,182,77,FALSE,,CAMP sr5,activities/16738644951.fit.gz,,10,6691,6161,42591.8,11.84,6.913,37,46,8,32,18,0,,,107,81,182,140,,116,1309,,25,77,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.366,0,,,,,0,,,,,,,,,,,,,,,,
15637460816,2025年8月30日 02:22:04,物资学院单飞太师屯往返200公里,骑行,"去的时候走的密古路，全是上坡和下坡，下坡很爽，上坡很累??。回来的时候走的G101国道非常丝滑刷新最快速度54.6km/h
",40486,200.08,185,589,FALSE,,CAMP sr5,activities/16701993017.fit.gz,,10,40486,30787,200083.4,15.12,6.499,746,732,7,253,40.3,0,,,127,80,185,148,,115,6123,,27,589,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,4.942,0,,,,,0,,,,,,,0,,,,,,,,,media/119384cb-54b2-4864-a9e5-cc7585345ad4.jpg
15616152015,2025年8月28日 12:07:10,傍晚 骑行,骑行,,4898,35.32,180,108,FALSE,,CAMP sr5,activities/16678798179.fit.gz,,10,4898,4615,35322.6,11.4,7.654,28,37,6,29,23,0,,,119,89,180,152,,140,1024,,23,108,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,7.212,0,,,,,0,,,,,,,,,,,,,,,,
15602181613,2025年8月26日 11:33:01,傍晚骑行,骑行,,7199,40.78,162,34,FALSE,,CAMP sr5,activities/16663937004.fit.gz,,10,7199,6665,40779.8,9.74,6.118,45,45,11,67,26.3,-0.1,,,95,72,162,122,,93,1241,,25,34,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.665,0,,,,,0,,,,,,,,,,,,,,,,
15524796532,2025年8月20日 12:10:26,温榆河刷新PR,骑行,骑了快1500公里有氧，偶尔来个阈值训练也不错,3763,30.03,194,144,FALSE,,CAMP sr5,activities/16579441076.fit.gz,,10,3763,3763,30036,10.64,7.982,8,7,6,30,10.3,0,,,97,82,194,164,,157,1004,,26,144,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,7.982,0,,,,,0,,,,,,,0,,,,,,,,,
15500801381,2025年8月18日 11:34:54,机场东路有氧骑行,骑行,休闲骑，恢复骑行,6935,40.2,149,27,FALSE,,CAMP sr5,activities/16553938364.fit.gz,,10,6935,6648,40204,8.3,6.048,36,40,3,35,10.5,0,,,98,71,149,120,,88,1212,,27,27,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.797,0,,,,,0,,,,,,,,,,,,,,,,
